,Site,Pol_sp,Plant_sp,Links
1,blabrolee,A_mellifera,Alcea_sp,2
2,blabrolee,E_tenax,Alcea_sp,0
3,blabrolee,I_promissorius,Alcea_sp,0
4,blabrolee,L_sordidum,Alcea_sp,0
5,blabrolee,N_producta,Alcea_sp,0
6,blabrolee,P_pseudorudis,Alcea_sp,0
7,blabrolee,A_mellifera,Cirsium_vulgare,5
8,blabrolee,E_tenax,Cirsium_vulgare,0
9,blabrolee,I_promissorius,Cirsium_vulgare,1
10,blabrolee,L_sordidum,Cirsium_vulgare,0
11,blabrolee,N_producta,Cirsium_vulgare,1
12,blabrolee,P_pseudorudis,Cirsium_vulgare,0
13,blabrolee,A_mellifera,Daucus_carota,0
14,blabrolee,E_tenax,Daucus_carota,0
15,blabrolee,I_promissorius,Daucus_carota,0
16,blabrolee,L_sordidum,Daucus_carota,0
17,blabrolee,N_producta,Daucus_carota,1
18,blabrolee,P_pseudorudis,Daucus_carota,0
19,blabrolee,A_mellifera,Eucalyptus_globulus,2
20,blabrolee,E_tenax,Eucalyptus_globulus,0
21,blabrolee,I_promissorius,Eucalyptus_globulus,0
22,blabrolee,L_sordidum,Eucalyptus_globulus,0
23,blabrolee,N_producta,Eucalyptus_globulus,0
24,blabrolee,P_pseudorudis,Eucalyptus_globulus,0
25,blabrolee,A_mellifera,Eucalyptus_nitens,3
26,blabrolee,E_tenax,Eucalyptus_nitens,0
27,blabrolee,I_promissorius,Eucalyptus_nitens,0
28,blabrolee,L_sordidum,Eucalyptus_nitens,0
29,blabrolee,N_producta,Eucalyptus_nitens,0
30,blabrolee,P_pseudorudis,Eucalyptus_nitens,0
31,blabrolee,A_mellifera,Lolium_sp,2
32,blabrolee,E_tenax,Lolium_sp,0
33,blabrolee,I_promissorius,Lolium_sp,1
34,blabrolee,L_sordidum,Lolium_sp,1
35,blabrolee,N_producta,Lolium_sp,1
36,blabrolee,P_pseudorudis,Lolium_sp,1
37,blabrolee,A_mellifera,Rubus_fruticosus,0
38,blabrolee,E_tenax,Rubus_fruticosus,1
39,blabrolee,I_promissorius,Rubus_fruticosus,0
40,blabrolee,L_sordidum,Rubus_fruticosus,0
41,blabrolee,N_producta,Rubus_fruticosus,0
42,blabrolee,P_pseudorudis,Rubus_fruticosus,0
43,blabrolee,A_mellifera,Taraxacum_officinale,6
44,blabrolee,E_tenax,Taraxacum_officinale,0
45,blabrolee,I_promissorius,Taraxacum_officinale,1
46,blabrolee,L_sordidum,Taraxacum_officinale,0
47,blabrolee,N_producta,Taraxacum_officinale,0
48,blabrolee,P_pseudorudis,Taraxacum_officinale,1
49,blabrolee,A_mellifera,Trifolium_sp,9
50,blabrolee,E_tenax,Trifolium_sp,0
51,blabrolee,I_promissorius,Trifolium_sp,0
52,blabrolee,L_sordidum,Trifolium_sp,3
53,blabrolee,N_producta,Trifolium_sp,3
54,blabrolee,P_pseudorudis,Trifolium_sp,1
55,blahamlak,A_mellifera,alnus_glutinosa,1
56,blahamlak,D_platura,alnus_glutinosa,0
57,blahamlak,H_hochstetteri,alnus_glutinosa,0
58,blahamlak,O_atrovirens,alnus_glutinosa,0
59,blahamlak,O_varia,alnus_glutinosa,0
60,blahamlak,P_pseudorudis,alnus_glutinosa,0
61,blahamlak,T_orthodoxus,alnus_glutinosa,0
62,blahamlak,A_mellifera,Chenopodium_album,0
63,blahamlak,D_platura,Chenopodium_album,0
64,blahamlak,H_hochstetteri,Chenopodium_album,0
65,blahamlak,O_atrovirens,Chenopodium_album,1
66,blahamlak,O_varia,Chenopodium_album,0
67,blahamlak,P_pseudorudis,Chenopodium_album,0
68,blahamlak,T_orthodoxus,Chenopodium_album,1
