"","body_length","body_weigth","flw_vis_time","pref_nec","pref_pol","soc_sol","larv_necpol","larv_plant","larv_carr","larv_paras","larv_dung","larv_dinsct","Carrying_structure","season","daily"
"apimel",12,4.5,4.1,100,0,"social",1,0,0,0,0,0,"corbicula","Aug","X2pm"
"bomter",14.3,6.8,3.682,100,0,"social",1,0,0,0,0,0,"corbicula","Jan","X12pm"
"calsty",10.9,5.7,NA,NA,NA,"solitary",0,1,1,0,0,0,"None","Jun","X12pm"
"calvic",9,4.9,10.1,100,NA,"solitary",0,1,1,0,0,0,"None","Jan","X10am"
"delpla",3.9,1.6,NA,NA,NA,"solitary",0,1,0,0,0,0,"None","Jan","X6pm"
"eriten",14.3,5.1,9.8,75,25,"solitary",0,1,0,0,0,0,"None","Aug","X2pm"
"helhoc",8.6,3.2,11.6,0,100,"solitary",0,1,0,0,0,0,"None","Dec","X12pm"
"ichpro",13,2,NA,NA,NA,"solitary",0,0,0,1,0,0,"None","Mar","X12pm"
"lassor",5.5,1.7,10.7,100,0,"solitary",1,0,0,0,0,0,"Scopa","Jan","X10am"
"melnov",9.7,2.2,7.5,14.3,85.7,"solitary",0,0,0,0,0,1,"None","Nov","X2pm"
"netpro",17,1.5,NA,NA,NA,"solitary",0,0,0,1,0,0,"None","Mar","X2pm"
"odoatr",8.9,3,NA,NA,NA,"solitary",0,1,0,0,0,0,"None","Dec","X12pm"
"oxyvar",8.4,3.1,6.1,100,0,"solitary",0,0,0,0,1,0,"None","Feb","X10am"
"palmar",6.4,3.1,NA,100,0,"solitary",0,0,0,1,0,0,"None","Jan","X12pm"
"polpse",7.3,3,15.9,100,0,"solitary",0,0,0,1,0,0,"None","Dec","X2pm"
"thyort",19,2,NA,NA,NA,"solitary",0,0,0,0,0,1,"None","Feb","X10am"
