"","Site","Pol_sp","Plant_sp","Links"
"1",1,"A.mellifera","Alcea_sp",2
"2",1,"E.tenax","Alcea_sp",0
"3",1,"I.promissorius","Alcea_sp",0
"4",1,"L.sordidum","Alcea_sp",0
"5",1,"N.producta","Alcea_sp",0
"6",1,"P.pseudorudis","Alcea_sp",0
"7",1,"A.mellifera","Cirsium_vulgare",5
"8",1,"E.tenax","Cirsium_vulgare",0
"9",1,"I.promissorius","Cirsium_vulgare",1
"10",1,"L.sordidum","Cirsium_vulgare",0
"11",1,"N.producta","Cirsium_vulgare",1
"12",1,"P.pseudorudis","Cirsium_vulgare",0
"13",1,"A.mellifera","Daucus_carota",0
"14",1,"E.tenax","Daucus_carota",0
"15",1,"I.promissorius","Daucus_carota",0
"16",1,"L.sordidum","Daucus_carota",0
"17",1,"N.producta","Daucus_carota",1
"18",1,"P.pseudorudis","Daucus_carota",0
"19",1,"A.mellifera","Eucalyptus_globulus",2
"20",1,"E.tenax","Eucalyptus_globulus",0
"21",1,"I.promissorius","Eucalyptus_globulus",0
"22",1,"L.sordidum","Eucalyptus_globulus",0
"23",1,"N.producta","Eucalyptus_globulus",0
"24",1,"P.pseudorudis","Eucalyptus_globulus",0
"25",1,"A.mellifera","Eucalyptus_nitens",3
"26",1,"E.tenax","Eucalyptus_nitens",0
"27",1,"I.promissorius","Eucalyptus_nitens",0
"28",1,"L.sordidum","Eucalyptus_nitens",0
"29",1,"N.producta","Eucalyptus_nitens",0
"30",1,"P.pseudorudis","Eucalyptus_nitens",0
"31",1,"A.mellifera","Lolium_sp",2
"32",1,"E.tenax","Lolium_sp",0
"33",1,"I.promissorius","Lolium_sp",1
"34",1,"L.sordidum","Lolium_sp",1
"35",1,"N.producta","Lolium_sp",1
"36",1,"P.pseudorudis","Lolium_sp",1
"37",1,"A.mellifera","Rubus_fruticosus",0
"38",1,"E.tenax","Rubus_fruticosus",1
"39",1,"I.promissorius","Rubus_fruticosus",0
"40",1,"L.sordidum","Rubus_fruticosus",0
"41",1,"N.producta","Rubus_fruticosus",0
"42",1,"P.pseudorudis","Rubus_fruticosus",0
"43",1,"A.mellifera","Taraxacum_officinale",6
"44",1,"E.tenax","Taraxacum_officinale",0
"45",1,"I.promissorius","Taraxacum_officinale",1
"46",1,"L.sordidum","Taraxacum_officinale",0
"47",1,"N.producta","Taraxacum_officinale",0
"48",1,"P.pseudorudis","Taraxacum_officinale",1
"49",1,"A.mellifera","Trifolium_sp",9
"50",1,"E.tenax","Trifolium_sp",0
"51",1,"I.promissorius","Trifolium_sp",0
"52",1,"L.sordidum","Trifolium_sp",3
"53",1,"N.producta","Trifolium_sp",3
"54",1,"P.pseudorudis","Trifolium_sp",1
"55",2,"A.mellifera","alnus_glutinosa",1
"56",2,"D.platura","alnus_glutinosa",0
"57",2,"H.hochstetteri","alnus_glutinosa",0
"58",2,"O.atrovirens","alnus_glutinosa",0
"59",2,"O.varia","alnus_glutinosa",0
"60",2,"P.pseudorudis","alnus_glutinosa",0
"61",2,"T.orthodoxus","alnus_glutinosa",0
"62",2,"A.mellifera","Chenopodium_album",0
"63",2,"D.platura","Chenopodium_album",0
"64",2,"H.hochstetteri","Chenopodium_album",0
"65",2,"O.atrovirens","Chenopodium_album",1
"66",2,"O.varia","Chenopodium_album",0
"67",2,"P.pseudorudis","Chenopodium_album",0
"68",2,"T.orthodoxus","Chenopodium_album",1
"69",2,"A.mellifera","Cirsium_vulgare",3
"70",2,"D.platura","Cirsium_vulgare",0
"71",2,"H.hochstetteri","Cirsium_vulgare",1
"72",2,"O.atrovirens","Cirsium_vulgare",1
"73",2,"O.varia","Cirsium_vulgare",0
"74",2,"P.pseudorudis","Cirsium_vulgare",0
"75",2,"T.orthodoxus","Cirsium_vulgare",0
"76",2,"A.mellifera","Eucalyptus_globulus",3
"77",2,"D.platura","Eucalyptus_globulus",0
"78",2,"H.hochstetteri","Eucalyptus_globulus",0
"79",2,"O.atrovirens","Eucalyptus_globulus",0
"80",2,"O.varia","Eucalyptus_globulus",0
"81",2,"P.pseudorudis","Eucalyptus_globulus",0
"82",2,"T.orthodoxus","Eucalyptus_globulus",0
"83",2,"A.mellifera","Eucalyptus_nitens",3
