species,family_ID,common_name,growth_form,annual_perennial,single_inflo,type_inflorescence,pollnec_access,flowers_per_inflorescence,flower_symmetry,inflorescence_symmetry,bird,wind,lepidoptera,bees,flies,Beetles,spring,summer,fall,winter,flower_sex,floral_fragrance,amount_of_nectar_per_poll_unit_per_day,poldepstig,polload,natint,stigcont,headstig,headanth,thorstig,thoranth,legstig,leganth,noind,body_length,body_weigth,body_depth,flw_vis_time,pref_nec,pref_pol,soc_sol,larv_necpol,larv_plant,larv_carr,larv_paras,larv_dung,larv_dinsct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Carrying_structure,6am,8am,10am,12pm,2pm,4pm,6pm,8pm
Lolium_sp,Poaceae,rye_grass,grass,annual,2,1,1,2,zygomorphic,zygomorphic,0,1,0,0,0,0,1,1,0,0,bisexual,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malva_spp,Malvaceae,mallow,shrub,perennial,1,0,1,1,actinomorphic,actinomorphic,0,0,1,0,0,0,0,1,0,0,bisexual,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taraxacum_officinale,asteraceae,dandelyon,herb,perennial,2,2,2,2,zygomorphic,actinomorphic,0,0,1,1,1,0,0,1,0,0,bisexual,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raphanus_sp,Brassicaceae,wild_radish,herb,annual,2,1,1,1,zygomorphic,zygomorphic,0,0,0,1,1,0,0,1,1,0,bisexual,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cirsium_vulgare,Asteraceae_species_2,thistle,herb,biennial,2,2,2,2,zygomorphic,actinomorphic,0,0,0,1,0,0,1,1,1,1,bisexual,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus_globulus,Eucalyptus_sp.1,eucalypt_,tree,perennial,2,1,1,1,actinomorphic,actinomorphic,1,0,0,1,1,1,0,1,0,0,bisexual,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus_nitens,Eucalyptus_sp._2,eucalypt_,tree,perennial,2,1,1,1,actinomorphic,actinomorphic,1,0,0,1,1,1,0,1,1,0,bisexual,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trifolium_sp,fabaceae,white_clover,herb,perennial,2,1,2,1,zygomorphic,actinomorphic,0,0,0,1,0,0,0,1,1,0,bisexual,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daucus_carota,Apiaceae,Queen_anns_lace_weed,herb,biennial,2,1,1,3,actinomorphic,actinomorphic,0,0,0,0,1,0,0,1,1,0,bisexual,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chenopodium_album,Chenopodiaceae,fathen,herb,annual,2,1,1,2,actinomorphic,actinomorphic,0,1,0,0,0,0,0,1,1,0,bisexual,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
